location,count
Hershey - Dispatched To: HMC - Centerview Parking Garage - 6 > HMC - Centerview Parking Garage - 6,1
Hershey - Dispatched To: HMC - Children's Hospital - G > HMC - Children's Hospital - G,1
11TH ST,1
PA-61 & UNIVERSITY DR,1
STUDENT UNION BUILDING,1
Hershey - Dispatched To: HMC > HMC,1
SQUIRREL DR,1
E COLLEGE AVE & S ALLEN ST,1
WATTS HALL,1
E NITTANY AVE,1
Hershey - Dispatched To: HMC Off-Site - PSCMG - Cocoa Family Practice - PSCMG > HMC Off-Site - PSCMG - Cocoa Family Practice - PSCMG,1
Hershey - Dispatched To: HMC - Cancer Institute - G > HMC - Cancer Institute - G,1
HUB LAWN,1
Hershey - Dispatched To: HMC - Children's Hospital - 3 - Children's MED\SURG > HMC - Children's Hospital - 3 - Children's MED\SURG,1
LAWRENCE HALL,1
SHERMAN HOUSE,1
FOREST RESOURCES BLDG,1
RYDAL RD,1
FINDLAY HALL,1
W COLLEGE AVE,1
MAINTENANCE BUILDING NEW,1
CURTIN RD & SHORTLIDGE RD,1
W COLLEGE AVE & N PATTERSON ST,1
BIGLER HALL,1
EDGECOMB AVE,1
Hershey - Dispatched To: HMC Off-Site - PSMG - Cocoa Outpatient Center - PSMG > HMC Off-Site - PSMG - Cocoa Outpatient Center - PSMG,1
Hershey - Dispatched To: HMC - Children's Hospital - 8 - NICU - Neonatal Intensive Care Unit West (NICU) > HMC - Children's Hospital - 8 - NICU - Neonatal Intensive Care Unit West (NICU),1
MEATS LAB,1
UPPER PULLO CENTER PARKING LOT - YORK,1
ADLER ATHLETIC COMPLEX,1
TIFFANY HALL,1
W BEAVER AVE,1
COAL AND COKE HERATIGE MUSEUM,1
COLONIAL DR,1
SENAT HALL SIDEWALK,1
Hershey - Dispatched To: HMC - Main Hospital - 1 - Surgical Waiting Area > HMC - Main Hospital - 1 - Surgical Waiting Area,1
MOORE BLDG,1
REED BUILDING NORTH SIDEWALK,1
BUSINESS BLDG,1
Hershey - Dispatched To: HMC - University Drive Roadway > HMC - University Drive Roadway,1
"ANIMAL, VETERINARY, AND BIOMEDICAL SCIENCES BUILDING",1
Hershey - Reported Location: HMC - Main Hospital - 7 - PSCI,1
OLD COALY WAY,1
STUCKEMAN FAMILY BLDG,1
RYDAL BUILDING,1
Hershey - Dispatched To: HMC - 35 Hope Drive - 1 - Peds Clinic > HMC - 35 Hope Drive - 1 - Peds Clinic,1
1ST AVE,1
DEPOT ST,1
Hershey - Dispatched To: HMC - Children's Hospital - 1 - P1400: Peds Hem\Oc Clinic > HMC - Children's Hospital - 1 - P1400: Peds Hem\Oc Clinic,1
MUNCY HOUSE,1
YELLOW T REDIFER LOT,1
Hershey - Dispatched To: HMC Off-Site - PSMG - Palmyra - PSMG > HMC Off-Site - PSMG - Palmyra - PSMG,1
EDUCATIONAL ACTIVITIES BUILDING,1
Hershey - Dispatched To: HMC - South Addition Drive    > HMC - South Addition Drive,1
Hershey - Dispatched To: COM - BMR > COM - BMR,1
SIGNAL HALL,1
E WOPSONONOCK AVE & IVYSIDE DR,1
SHORTLIDGE RD & E COLLEGE AVE,1
Hershey - Dispatched To: HMC - Main Hospital - 7 - Medical Intensive Care Unit West (MICU) > HMC - Main Hospital - 7 - Medical Intensive Care Unit West (MICU),1
RYDAL EXECUTIVE PLAZA,1
CLOVERLY LN & SEWELL LN,1
AIRPORT GENERAL AVIATION ADMINISTRATION BLDG,1
MIFFLIN RD & MCKEAN RD,1
W COLLEGE AVE & N BARNARD ST,1
LION SHRINE LOT,1
VILLAGE DR,1
CHAMBERS BLDG,1
PAXTON HOUSE,1
OAK LOT - BOA - ALTOONA,1
POLLOCK HALLS RESIDENCE COMPLEX,1
BAKER ENGINEERING & SCIENCE BUILDING,1
JORDAN RD & COLLEGE DR,1
ORANGE F MORGAN CENTER LOT,1
N 6TH ST & E DUBOIS AVE,1
Hershey - Dispatched To: HMC - Main Hospital - 2 - Same Day Surgery Unit > HMC - Main Hospital - 2 - Same Day Surgery Unit,1
ATHLETIC AND RECREATION BUILDING,1
BEAVER ATHLETICS AND WELLNESS CENTER,1
MCKEAN RD & SHORTLIDGE RD,1
BIGLER RD & MCKEAN RD,1
Hershey - Reported Location: HMC - Main Hospital - 1 - South Entrance\Chapel,1
LOT 81 BEAVER HALL LOT,1
WAGNER BLDG,1
STUDENT-COMMUNITY ACTIVITY CENTER,1
EAST HALLS RESIDENCE COMPLEX,1
LEUBNITZER WEG 1,1
NOLL LAB,1
ON CAMPUS RESIDENCE HALL,1
N ATHERTON ST,1
IVYSIDE PARK,1
Hershey - Dispatched To: HMC Off-Site - PSMG - Harrisburg - PSMG > HMC Off-Site - PSMG - Harrisburg - PSMG,1
SMITH BLDG,1
RUHL STUDENT/COMMUNITY CENTER,1
NITTANY COMMUNITY CENTER,1
IVYSIDE PARK & JUNIATA GAP RD,1
BOOKSTORE,1
ADMINISTRATION BUILDING,1
JUNIATA GAP RD & RIDER FARM RD,1
THE BOWMAN RESIDENCE CENTER,1
Hershey - Dispatched To: HMC - Main Hospital - 7 - Medical Intensive Care Unit East (MICU) > HMC - Main Hospital - 7 - Medical Intensive Care Unit East (MICU),1
Hershey - Dispatched To: HMC - South Addition - 3 > HMC - South Addition - 3,1
HENDERSON DR,1
RESIDENCE HALL SOUTH,1
BIGLER RD,1
PORTER RD & CURTIN RD,1
N 4TH AVE & N 13TH ST,1
REDC PARKING DECK,1
FLEET OPERATIONS FACILITY,1
SHIELDS BLDG,1
"Hershey - Reported Location: HMC Off-Site - PSMG - Camp Hill, Specialties - PSMG",1
GRADYVILLE RD,1
ACADEMIC LEARNING CENTER,1
Hershey - Reported Location: HMC - Main Hospital,1
Hershey - Reported Location: HMC - Main Hospital - 2 - SICU,1
Hershey - Dispatched To: HMC - 30 Hope Drive - 1 - Therapy Services > HMC - 30 Hope Drive - 1 - Therapy Services,1
KNOWLEDGE PKWY,1
LOT H - ABINGTON,1
ABINGTON TOWNE CENTER,1
Hershey - Dispatched To: HMC - Main Hospital - 1 - Heart & Vascular Critical Care Unit West (HVCCU) > HMC - Main Hospital - 1 - Heart & Vascular Critical Care Unit West (HVCCU),1
"Hershey - Dispatched To: HMC - Parking Lot - Lot B,C,D > HMC - Parking Lot - Lot B,C,D",1
DAVIS RD,1
W 14TH AVE,1
Hershey - Dispatched To: COM - Basic Science - 6 > COM - Basic Science - 6,1
GREENHOUSE,1
Hershey - Reported Location: HMC - Main Hospital - 3 - Acute Care - 500 University Dr Hershey PA USA,1
Hershey - Dispatched To: HMC - Parking Lot > HMC - Parking Lot,1
6TH AVE,1
MONT ALTO HALL LOT 1 - MONT ALTO,1
COLONNADE WAY,1
UNKNOWN  LOCATION,1
DONKIN HALL,1
Hershey - Dispatched To: HMC - Parking Lot - Lot A > HMC - Parking Lot - Lot A,1
Hershey - Dispatched To: HMC and COM - Westview Parking Garage > HMC and COM - Westview Parking Garage,1
15TH ST & 16TH AVE,1
AG ADMIN BLDG,1
FOX HILL RD,1
CAMPUS DR & ORCHARD RD,1
NORTH ATHERTON ST & PARK AVE,1
Hershey - Dispatched To: COM - Basic Science > COM - Basic Science,1
HILLSIDE DR,1
Hershey - Reported Location: HMC - Main Hospital - 3 - Acute Care Medical Oncology,1
Hershey - Dispatched To: HMC - Children's Hospital - 2 > HMC - Children's Hospital - 2,1
Hershey - Dispatched To: HMC - Cancer Institute - 5 - Rad Onc > HMC - Cancer Institute - 5 - Rad Onc,1
25TH AVE,1
25TH AVE & JUNIATA GAP RD,1
COLONEL DRAKE HWY & SKYLINE DR,1
GENESIS CT,1
WHEATFIELD DR,1
Hershey - Dispatched To: HMC - Cancer Institute - 1 > HMC - Cancer Institute - 1,1
SWATARA CUB LOT - HARRISBURG,1
PA-93 & UNIVERSITY DR,1
Hershey - Dispatched To: HMC - Ronald McDonald House > HMC - Ronald McDonald House,1
Hershey - Dispatched To: COM - Basic Science - 1 > COM - Basic Science - 1,1
BUSINESS BUILDING,1
GRANGE BLDG,1
OSBORN HALL,1
WARNOCK HALL,1
SNIDER AGRICULTURAL ARENA,1
NITTANY LION INN,1
29TH WAY N,1
LOT A - BEAVER,1
BUS SHELTER MCCOY NATATORIUM,1
G THOMAS WATER TUNNEL,1
Hershey - Dispatched To: HMC - Main Hospital - 2 - PreOp\SameDay > HMC - Main Hospital - 2 - PreOp\SameDay,1
ST JOHN ST,1
HARMONY HALL LOT - BEAVER,1
SLEP LOT - YSL - ALTOONA,1
BB02 LOT - SCRANTON,1
EAB LOT - HARRISBURG,1
REED LOT - ERIE,1
SHARON HALL,1
OLMSTED DRIVE LOT - HARRISBURG,1
VARIOUS ON-CAMPUS BUILDINGS AND RESIDENCE HALLS,1
CAMAC AVE,1
PORT SKY CAFE,1
MULTI-PURPOSE ACTIVITIES CENTER,1
OAKMOSS HALL,1
PARKSIDE DR,1
BLACK AND BASHORE BUILDING SIDEWALK AREA,1
HAFFNER HALL,1
JUNIATA GAP RD & BECKERS LN,1
Hershey - Dispatched To: HMC - Main Hospital - 3 - Acute Care Medical Oncology       > HMC - Main Hospital - 3 - Acute Care Medical Oncology,1
DOCK ST,1
MCKEAN RD,1
Hershey - Reported Location: HMC - Main Hospital - 1,1
POPLAR LOT - BPO - ALTOONA,1
UNIVERISITY DR,1
STADIUM WEST (SMALL LOT) LOT,1
N ATHERTON ST & CURTIN RD,1
GWIN RD,1
DEANS WAY,1
N 8TH ST & N 3RD AVE,1
