location,count
Hershey - Dispatched To: HMC - Parking Lot > HMC - Parking Lot,1
Hershey - Dispatched To: HMC - Parking Lot - Lot A > HMC - Parking Lot - Lot A,1
Hershey - Dispatched To: HMC and COM - Westview Parking Garage > HMC and COM - Westview Parking Garage,1
Hershey - Dispatched To: COM - Basic Science > COM - Basic Science,1
Hershey - Reported Location: HMC - Main Hospital - 3 - Acute Care Medical Oncology,1
Hershey - Dispatched To: HMC - Children's Hospital - 2 > HMC - Children's Hospital - 2,1
Hershey - Dispatched To: HMC - Cancer Institute - 5 - Rad Onc > HMC - Cancer Institute - 5 - Rad Onc,1
Hershey - Dispatched To: HMC - Main Hospital - 1 - Heart & Vascular Critical Care Unit East (HVCCU) > HMC - Main Hospital - 1 - Heart & Vascular Critical Care Unit East (HVCCU),1
Hershey - Dispatched To: HMC - Children's Hospital - 7 - Women's Health Post \Antepartum > HMC - Children's Hospital - 7 - Women's Health Post \Antepartum,1
Hershey - Dispatched To: HMC - Cancer Institute - 1 > HMC - Cancer Institute - 1,1
Hershey - Dispatched To: HMC - Children's Hospital - 3 - Children's Hospital Acute Care > HMC - Children's Hospital - 3 - Children's Hospital Acute Care,1
Hershey - Dispatched To: HMC - Main Hospital - 3 - Heart & Vascular Progressive Care - West (HVPCU) > HMC - Main Hospital - 3 - Heart & Vascular Progressive Care - West (HVPCU),1
