id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,campus
962,26WS00001,22,01/16/2026 10:00 AM,01/16/2026 10:00 AM,01/16/2026 11:00 AM,Employee requested assistance with an administrative matter,MULTI-PURPOSE BUILDING,2026-02-18 21:43:32,other
998,26DS00001,9,01/15/2026 12:16 PM,01/15/2026 12:16 PM,01/15/2026 12:22 PM,Visitor requested assistance with a disabled vehicle,N 6TH ST & E DUBOIS AVE,2026-02-18 21:43:32,other
1005,26WB00002,21,01/15/2026 10:12 AM,01/14/2026 02:00 PM,01/15/2026 10:12 AM,Employee requested assistance with an administrative matter,ATHLETIC AND RECREATION BUILDING,2026-02-18 21:43:32,other
1074,26YK00001,23,01/13/2026 08:20 AM,01/10/2026 09:00 AM,01/10/2026 09:30 AM,Employee requested assistance with an administrative matter,RUHL STUDENT/COMMUNITY CENTER,2026-02-18 21:43:32,other
1253,26MA00001,17,01/02/2026 03:58 PM,01/02/2026 03:58 PM,01/02/2026 04:01 PM,Employee reported theft of services,MONT ALTO HALL LOT 1 - MONT ALTO,2026-02-18 21:43:32,other
1264,26WB00001,21,01/01/2026 10:37 AM,01/01/2026 10:37 AM,,Assisted an outside law enforcement agency with an investigation,UNKNOWN  LOCATION,2026-02-18 21:43:32,other
1272,25UP05383,1,12/31/2025 02:14 PM,12/31/2025 02:14 PM,,Assisted the fire department with a reported fire alarm activation,DONKIN HALL,2026-02-18 21:43:32,other
1297,25UP05382,1,12/29/2025 08:01 PM,12/29/2025 08:01 PM,12/29/2025 09:00 PM,Received this department's copy of a Protection From Abuse (PFA) order,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32,other
1298,25AL00644,3,12/29/2025 06:22 PM,12/29/2025 06:22 PM,12/29/2025 08:25 PM,Assisted an outside law enforcement agency with an investigation,15TH ST & 16TH AVE,2026-02-18 21:43:32,other
1299,25UP05381,1,12/29/2025 03:50 PM,12/29/2025 03:50 PM,12/29/2025 04:56 PM,Employee reported a fire,MILLENNIUM SCIENCE COMPLEX,2026-02-18 21:43:32,other
1303,25UP05379,1,12/29/2025 12:22 PM,06/01/2025 12:00 AM,12/24/2025 12:00 AM,Employee reported suspicious activity,MILLENNIUM SCIENCE COMPLEX,2026-02-18 21:43:32,other
1305,25UP05378,1,12/29/2025 11:39 AM,12/29/2025 11:39 AM,,Employee reported suspicious persons,AG ADMIN BLDG,2026-02-18 21:43:32,other
1306,25ER00360,5,12/29/2025 03:10 AM,12/29/2025 03:10 AM,12/29/2025 03:30 AM,Employee reported an alarm activation,METZGAR ADMISSIONS & ALUMNI CTR,2026-02-18 21:43:32,other
1309,25UP05375,1,12/28/2025 09:29 PM,12/23/2025 09:00 PM,12/24/2025 07:00 PM,Visitor reported the loss or theft of their unattended personal property,FOX HILL RD,2026-02-18 21:43:32,other
1314,25HB00571,13,12/27/2025 10:28 PM,12/27/2025 10:28 PM,,Visitor reported a concern for another student,JUNIATA HOUSE,2026-02-18 21:43:32,other
1315,25AB00461,2,12/27/2025 07:42 PM,12/27/2025 07:33 PM,12/27/2025 08:28 PM,Employee reported the reckless operation of a vehicle,LOT G - ABINGTON,2026-02-18 21:43:32,other
1318,25UP05371,1,12/27/2025 02:54 PM,12/27/2025 02:54 PM,12/27/2025 03:11 PM,Visitor reported accidental damage to personal property,AIRPORT AIR TERMINAL BLDG,2026-02-18 21:43:32,other
